State_abbreviation,State,Plant_county,Burned_coal
LA,Louisiana,Calcasieu,
TX,Texas,Orange,
TX,Texas,Jefferson,
TX,Texas,Hidalgo,
AZ,Arizona,Mohave,
CT,Connecticut,New Haven,
CO,Colorado,Morgan,
GA,Georgia,Walton,
AZ,Arizona,Pinal,
IL,Illinois,Kendall,
TX,Texas,Rusk,
MN,Minnesota,Dakota,
WI,Wisconsin,Winnebago,
TX,Texas,Guadalupe,
AL,Alabama,LEE,
TX,Texas,Hood,
GA,Georgia,Heard,
TX,Texas,Hays,
OK,Oklahoma,Tulsa,
IN,Indiana,Greene,
CT,Connecticut,Windham,
CA,California,Kern,
TX,Texas,Guadalupe,
TX,Texas,Bastrop,
NY,New York,Albany,
VA,Virginia,Prince William,
CA,California,Tulare,
CA,California,Los Angeles,
KY,Kentucky,Oldham,
LA,Louisiana,Calcasieu,
SC,South Carolina,Cherokee,
TX,Texas,Bastrop,
NH,New Hampshire,Rockingham,
TX,Texas,Bosque,
LA,Louisiana,Acadia,
TX,Texas,Harrison,
AZ,Arizona,Mohave,
MO,Missouri,Cass,
ID,Idaho,Kootenai,
CA,California,Kern,
IL,Illinois,Lee,
CA,California,Monterey,
TX,Texas,Harris,
IL,Illinois,Rock Island,
PA,Pennsylvania,Berks,
PA,Pennsylvania,Allegheny,
MS,Mississippi,Lowndes,
KY,Kentucky,Lawrence,
IL,Illinois,Will,
CO,Colorado,Denver,
IL,Illinois,Ford,
IL,Illinois,Perry,
IL,Illinois,Marion,
TX,Texas,Nueces,
NM,New Mexico,Dona Ana,
MA,Massachusetts,Norfolk,
MA,Massachusetts,Worcester,
TX,Texas,Ector,
IL,Illinois,Grundy,
CA,California,Contra Costa,
MS,Mississippi,Hinds,
MS,Mississippi,Attala,
AR,Arkansas,Pulaski,
IL,Illinois,Will,
TX,Texas,Ellis,
IN,Indiana,Knox,
OK,Oklahoma,Wagoner,
TX,Texas,Freestone,
OH,Ohio,Darke,
IN,Indiana,Wells,
TX,Texas,Wise,
PA,Pennsylvania,Delaware,
KY,Kentucky,Marshall,
PA,Pennsylvania,Venango,
MO,Missouri,Audrain,
IL,Illinois,Lee,
IL,Illinois,Shelby,
IL,Illinois,Winnebago,
NJ,New Jersey,Middlesex,
AL,Alabama,Mobile,
FL,Florida,Santa Rosa,
NY,New York,Queens,
GA,Georgia,Walton,
IL,Illinois,Douglas,
OH,Ohio,Pickaway,
IL,Illinois,Will,
TN,Tennessee,Weakley,
IL,Illinois,Will,
IN,Indiana,Lake,
OH,Ohio,Wood,
OH,Ohio,Crawford,
OH,Ohio,Henry,
GA,Georgia,Upson,
MS,Mississippi,Desoto,
MI,Michigan,Jackson,
AL,Alabama,Autauga,
GA,Georgia,Fulton,
WV,West Virginia,Wayne,
WY,Wyoming,Fremont,
IL,Illinois,DuPage,
IL,Illinois,Cook,
AZ,Arizona,Maricopa,
CO,Colorado,El Paso,
WV,West Virginia,Wayne,
VA,Virginia,Washington,
FL,Florida,Brevard,
AL,Alabama,Morgan,
AL,Alabama,Morgan,
ME,Maine,Cumberland,
CA,California,Riverside,
IL,Illinois,Cook,
MI,Michigan,Van Buren,
PA,Pennsylvania,Bucks,
TX,Texas,Harris,
GA,Georgia,Mitchell,
AZ,Arizona,Maricopa,
KY,Kentucky,Marshall,
TX,Texas,Jefferson,
TX,Texas,Brazoria,
TX,Texas,San Patricio,
MA,Massachusetts,Norfolk,
TX,Texas,Wise,
NV,Nevada,Clark,
TX,Texas,Chambers,
OR,Oregon,Umatilla,
GA,Georgia,Washington,
CA,California,Contra Costa,
IL,Illinois,Shelby,
PA,Pennsylvania,Lebanon,
AR,Arkansas,Mississippi,
NM,New Mexico,Luna,
CA,California,San Diego,
PA,Pennsylvania,Armstrong,
OH,Ohio,Wood,
WV,West Virginia,Pleasants,
OH,Ohio,Muskingum,
TX,Texas,Fort Bend,
TX,Texas,Newton,
IN,Indiana,Vigo,
TX,Texas,Harris,
HI,Hawaii,Hawaii,
NY,New York,Queens,
PA,Pennsylvania,FAYETTE,
AR,Arkansas,Union,
VA,Virginia,Accomack,
GA,Georgia,Murray,
SC,South Carolina,Calhoun,
TX,Texas,Dallas,
WI,Wisconsin,Dane,
IL,Illinois,Lake,
CA,California,Santa Clara,
MS,Mississippi,Coahoma,
OH,Ohio,Washington,
CA,California,Kern,
OH,Ohio,Vinton,
MI,Michigan,Montcalm,
LA,Louisiana,Iberville,
NY,New York,Greene,
GA,Georgia,Effingham,
AL,Alabama,Calhoun,
AL,Alabama,Tallapoosa,
FL,Florida,Polk,
FL,Florida,Pasco,
FL,Florida,Hardee,
IL,Illinois,Clay,
AR,Arkansas,Hot Spring,
LA,Louisiana,Iberville,
KY,Kentucky,Hancock,
LA,Louisiana,Acadia,
IL,Illinois,Kane,
VA,Virginia,Fluvanna,
AL,Alabama,Autauga,
MO,Missouri,Boone,
MS,Mississippi,Benton,
CO,Colorado,El Paso,
AZ,Arizona,Maricopa,
OK,Oklahoma,McClain,
OK,Oklahoma,Oklahoma,
TX,Texas,Harris,
LA,Louisiana,Ouachita,
TX,Texas,Galveston,
WY,Wyoming,Campbell,
SD,South Dakota,Pennington,
WY,Wyoming,Campbell,Yes
TX,Texas,Kaufman,
AZ,Arizona,Maricopa,
WA,Washington,Klickitat,
NC,North Carolina,Catawba,
IL,Illinois,Piatt,
CA,California,Solano,
OK,Oklahoma,Pittsburg,
IN,Indiana,Dearborn,
OH,Ohio,Washington,
CO,Colorado,Lincoln,
CO,Colorado,Adams,
CA,California,Fresno,
CA,California,San Diego,
CA,California,San Diego,
CA,California,San Diego,
NV,Nevada,Clark,
PA,Pennsylvania,Fayette,
CT,Connecticut,New Haven,
CA,California,San Bernardino,
AZ,Arizona,Pinal,
PA,Pennsylvania,York,
WI,Wisconsin,Milwaukee,
NC,North Carolina,Burke,
CA,California,San Diego,
CA,California,San Diego,
CA,California,Riverside,
CA,California,San Diego,
OR,Oregon,Klamath,
TX,Texas,Montgomery,
WI,Wisconsin,Outagamie,
MA,Massachusetts,Bristol,
MI,Michigan,Washtenaw,
MI,Michigan,Calhoun,
NC,North Carolina,Cabarrus,
CA,California,Orange,
CA,California,San Diego,
CA,California,Santa Barbara,
NJ,New Jersey,Monmouth,
LA,Louisiana,Ouachita,
UT,Utah,Salt Lake,
CA,California,Solano,
CA,California,Solano,
CA,California,Solano,
IL,Illinois,Will,
WI,Wisconsin,Rock,
CO,Colorado,Adams,
CO,Colorado,Jefferson,
OK,Oklahoma,Logan,
PA,Pennsylvania,Franklin,
OK,Oklahoma,Caddo,
CA,California,Kern,
NH,New Hampshire,Rockingham,
WA,Washington,Lewis,
TX,Texas,Harrison,
PA,Pennsylvania,Northampton,
GA,Georgia,Washington,
NV,Nevada,Clark,
PA,Pennsylvania,Northampton,
MS,Mississippi,Choctaw,
CA,California,Kings,
NY,New York,Queens,
WA,Washington,Cowlitz,
OH,Ohio,Sandusky,
MS,Mississippi,Choctaw,
TX,Texas,Nacogdoches,
PA,Pennsylvania,Allegheny,
AR,Arkansas,Hot Spring,
MI,Michigan,St Clair,
ID,Idaho,Elmore,
OH,Ohio,Lawrence,
VA,Virginia,Buchanan,
CA,California,Santa Clara,
MT,Montana,Big Horn,Yes
CA,California,Sonoma,
CA,California,Sonoma,
NY,New York,Niagara,
PA,Pennsylvania,Northampton,
CA,California,Sacramento,
WI,Wisconsin,Dane,
IL,Illinois,Lake,
NY,New York,Suffolk,
NY,New York,Suffolk,
MI,Michigan,Allegan,
PA,Pennsylvania,Delaware,
NM,New Mexico,Valencia,
CA,California,Kings,
CA,California,Santa Clara,
CA,California,Monterey,
CA,California,Sutter,
WA,Washington,Pierce,
FL,Florida,Orange,
MN,Minnesota,Ramsey,
CO,Colorado,Weld,
WI,Wisconsin,Outagamie,
NV,Nevada,Clark,
CA,California,Sutter,
CA,California,Solano,
CA,California,Riverside,
CA,California,Solano,
IL,Illinois,St Clair,Yes
LA,Louisiana,Plaquemines,
WI,Wisconsin,Portage,
MT,Montana,Silver Bow,
CA,California,Sonoma,
WA,Washington,Grays Harbor,
MD,Maryland,Montgomery,
WI,Wisconsin,Manitowoc,
SC,South Carolina,Jasper,
TN,Tennessee,Warren,
CA,California,San Joaquin,
CA,California,San Bernardino,
CA,California,San Bernardino,
IL,Illinois,Winnebago,
NJ,New Jersey,Ocean,
VA,Virginia,Warren,
CA,California,San Bernardino,
VA,Virginia,Southampton,
VA,Virginia,Southampton,
CA,California,Contra Costa,
MD,Maryland,Prince Georges,
GA,Georgia,Heard,
AK,Alaska,Kenai Peninsula,
NY,New York,SUFFOLK,
CA,California,Sacramento,
NE,Nebraska,Cass,
PA,Pennsylvania,Adams,
NM,New Mexico,San Juan,
CA,California,San Diego,
OK,Oklahoma,Payne,
OH,Ohio,Ashtabula,
IA,Iowa,Linn,
PA,Pennsylvania,Franklin,
VA,Virginia,Rockingham,
VA,Virginia,Rockingham,
IA,Iowa,Audubon,
GA,Georgia,Decatur,
WA,Washington,Whitman,
AL,Alabama,Talladega,
IA,Iowa,Tama,
CA,California,Santa Clara,
WI,Wisconsin,Outagamie,
NY,New York,Nassau,
NC,North Carolina,WILSON,
CA,California,Alameda,
MD,Maryland,Prince Georges,
CA,California,Los Angeles,
CA,California,Los Angeles,
CA,California,Los Angeles,
CT,Connecticut,New Haven,
CA,California,Los Angeles,
IL,Illinois,Clark,
HI,Hawaii,Maui,
NC,North Carolina,Guilford,
NC,North Carolina,Iredell,
NC,North Carolina,Cleveland,
NC,North Carolina,Burke,
NC,North Carolina,Davidson,
WI,Wisconsin,Milwaukee,Yes
WI,Wisconsin,Green Lake,
WI,Wisconsin,Dane,
IA,Iowa,Linn,
IA,Iowa,Linn,
AL,Alabama,Jefferson,
CA,California,Stanislaus,
AR,Arkansas,Arkansas,
CA,California,Santa Clara,
CA,California,Orange,
ND,North Dakota,Traill,
MN,Minnesota,Winona,
UT,Utah,Juab,
MN,Minnesota,Blue Earth,
LA,Louisiana,Lafayette,
TX,Texas,Bexar,
IL,Illinois,Clay,
IL,Illinois,Clay,
IL,Illinois,Clay,
NJ,New Jersey,MIDDLESEX,
SC,South Carolina,Lee,
SC,South Carolina,Anderson,
SC,South Carolina,Richland,
MO,Missouri,Macon,
SC,South Carolina,York,
SC,South Carolina,Oconee,
SC,South Carolina,Abbeville,
CA,California,San Joaquin,
CA,California,San Joaquin,
IA,Iowa,Polk,
LA,Louisiana,St Mary,
NY,New York,Queens,
CA,California,Riverside,
CA,California,Riverside,
AK,Alaska,Prince of Wales-Hyder,
SD,South Dakota,Stanley,
GA,Georgia,Effingham,
MO,Missouri,Cass,
TX,Texas,Brazoria,
UT,Utah,Salt Lake,
MN,Minnesota,Rice,
WI,Wisconsin,Sheboygan,
UT,Utah,Utah,
OH,Ohio,Ottawa,
CA,California,Tehama,
CA,California,Madera,
NY,New York,Suffolk,
CT,Connecticut,Fairfield,
MI,Michigan,Isabella,
OR,Oregon,Clatsop,
IA,Iowa,Grundy,
NY,New York,Queens,
NV,Nevada,Eureka,Yes
OR,Oregon,Columbia,
AZ,Arizona,Pima,
GA,Georgia,DeKalb,
CA,California,San Diego,
TX,Texas,Scurry,
NY,New York,Suffolk,
UT,Utah,Utah,
SD,South Dakota,Brown,
CA,California,Fresno,
MN,Minnesota,Goodhue,
ND,North Dakota,Cass,
SD,South Dakota,Grant,
MN,Minnesota,Stevens,
MN,Minnesota,Dakota,
LA,Louisiana,Ascension,
NC,North Carolina,Anson,
NY,New York,Ontario,
UT,Utah,Washington,
HI,Hawaii,Kauai,
NY,New York,Rensselaer,
NC,North Carolina,Guilford,
NC,North Carolina,Davidson,
NC,North Carolina,Gaston,
NC,North Carolina,Stanly,
WI,Wisconsin,Washington,
MN,Minnesota,Olmsted,
SD,South Dakota,Grant,
KY,Kentucky,Boone,
KY,Kentucky,Greenup,
KY,Kentucky,Laurel,
KY,Kentucky,Hardin,
LA,Louisiana,Lafayette,
CA,California,San Luis Obispo,
VA,Virginia,Salem City,
VA,Virginia,Salem City,
NC,North Carolina,Richmond,
CA,California,Placer,
MO,Missouri,St Louis,
WY,Wyoming,Lincoln,
WY,Wyoming,Campbell,Yes
NY,New York,Niagara,
NY,New York,Albany,
AK,Alaska,Southeast Fairbanks,
TX,Texas,Yoakum,
KY,Kentucky,Pendleton,
AR,Arkansas,Washington,
HI,Hawaii,Honolulu,
NC,North Carolina,Stanly,
NC,North Carolina,Gaston,
NC,North Carolina,Lincoln,
NC,North Carolina,Catawba,
NC,North Carolina,Union,
NC,North Carolina,Burke,
NC,North Carolina,Mecklenburg,
CA,California,San Bernardino,
OK,Oklahoma,Harper,
TX,Texas,Ector,
TX,Texas,Wharton,
CA,California,Riverside,
VA,Virginia,Danville City,
VA,Virginia,Culpeper,
VA,Virginia,Prince William,
TX,Texas,Travis,
PA,Pennsylvania,Luzerne,
FL,Florida,St Lucie,
MO,Missouri,Greene,
NV,Nevada,Clark,
WA,Washington,Skagit,
FL,Florida,Palm Beach,
IL,Illinois,Will,
OH,Ohio,Franklin,
OH,Ohio,Franklin,
OH,Ohio,Franklin,
MA,Massachusetts,Hampden,
WI,Wisconsin,Rock,
CA,California,Santa Cruz,
DE,Delaware,Sussex,
DE,Delaware,Kent,
CO,Colorado,Weld,
AR,Arkansas,Mississippi,Yes
NM,New Mexico,Lea,
OR,Oregon,Jackson,
IL,Illinois,Kane,
IN,Indiana,Cass,
IN,Indiana,Jay,
IN,Indiana,White,
CA,California,Alameda,
CA,California,Siskiyou,
CA,California,Ventura,
CA,California,San Bernardino,
CA,California,San Bernardino,
CA,California,Orange,
CA,California,LOS ANGELES,
CA,California,Contra Costa,
MO,Missouri,Audrain,
WI,Wisconsin,Wood,
AZ,Arizona,Mohave,
AR,Arkansas,Washington,
KS,Kansas,Ellis,
NV,Nevada,Storey,
KS,Kansas,Lyon,
MI,Michigan,Ottawa,
MI,Michigan,Ottawa,
AR,Arkansas,Craighead,
UT,Utah,Salt Lake,
PA,Pennsylvania,Lancaster,
NJ,New Jersey,Camden,
PA,Pennsylvania,Lebanon,
PA,Pennsylvania,Montgomery,
CO,Colorado,Jefferson,
IA,Iowa,Pocahontas,
FL,Florida,Alachua,
VA,Virginia,Salem City,
WI,Wisconsin,Jefferson,
IA,Iowa,Winnebago,
FL,Florida,Jackson,
AR,Arkansas,Pulaski,
TX,Texas,Travis,
WI,Wisconsin,Rusk,
NY,New York,Erie,
MA,Massachusetts,Worcester,
TX,Texas,Dallas,
IL,Illinois,Christian,
CO,Colorado,Arapahoe,
VA,Virginia,Hampton City,
CA,California,Colusa,
SC,South Carolina,Oconee,
NC,North Carolina,Mecklenburg,
NC,North Carolina,Rutherford,
NC,North Carolina,Burke,
NC,North Carolina,Caldwell,
NC,North Carolina,Mecklenburg,
NC,North Carolina,Rowan,
NC,North Carolina,Iredell,
NC,North Carolina,Burke,
UT,Utah,Salt Lake,
KY,Kentucky,McCracken,
AR,Arkansas,Hempstead,Yes
CA,California,Imperial,
PA,Pennsylvania,Northampton,
WY,Wyoming,Campbell,Yes
MO,Missouri,St Francois,
MO,Missouri,St Francois,
MO,Missouri,St Francois,
TX,Texas,San Jacinto,
TX,Texas,Hardin,
MT,Montana,Roosevelt,
WY,Wyoming,Campbell,Yes
SD,South Dakota,Brookings,
TX,Texas,McLennan,Yes
AZ,Arizona,Navajo,
CT,Connecticut,New Haven,
CA,California,Fresno,
MN,Minnesota,Ramsey,
MD,Maryland,Montgomery,
WV,West Virginia,Monongalia,Yes
TX,Texas,Fayette,
MD,Maryland,Wicomico,
VA,Virginia,Amelia,
VA,Virginia,Brunswick,
VA,Virginia,Charles City,
VA,Virginia,Chesterfield,
VA,Virginia,King and Queen,
PA,Pennsylvania,Franklin,
NC,North Carolina,Craven,
PA,Pennsylvania,Schuylkill,
VA,Virginia,Goochland,
VA,Virginia,Virginia Beach City,
NJ,New Jersey,Bergen,
CA,California,Madera,
CA,California,Merced,
TX,Texas,Calhoun,
OR,Oregon,Linn,
VA,Virginia,Montgomery,Yes
ND,North Dakota,Stutsman,Yes
LA,Louisiana,Ascension,
CT,Connecticut,Middlesex,
FL,Florida,Duval,
CA,California,Fresno,
TX,Texas,Chambers,
VA,Virginia,Buckingham,
VA,Virginia,Wise,Yes
MD,Maryland,Charles,
CT,Connecticut,Windham,
OH,Ohio,Scioto,
PA,Pennsylvania,Lancaster,
MI,Michigan,KENT,
MI,Michigan,BAY,
UT,Utah,Salt Lake,
TX,Texas,Bexar,
OH,Ohio,Ottawa,
OH,Ohio,Mahoning,
OH,Ohio,Lorain,
GA,Georgia,Taylor,
IL,Illinois,Lake,
PA,Pennsylvania,Chester,
NJ,New Jersey,Cumberland,
PA,Pennsylvania,Cumberland,
PA,Pennsylvania,Bradford,
VT,Vermont,Washington,
VA,Virginia,Stafford,
CA,California,San Mateo,
MO,Missouri,Cole,
CA,California,Contra Costa,
CA,California,Los Angeles,
MT,Montana,Deer Lodge,
PA,Pennsylvania,Schuylkill,
CA,California,San Diego,
CT,Connecticut,Fairfield,
NY,New York,Orange,
AZ,Arizona,Pinal,
SC,South Carolina,Greenville,
NC,North Carolina,Gaston,
PA,Pennsylvania,Berks,
NY,New York,Jefferson,
NC,North Carolina,Iredell,
NJ,New Jersey,Gloucester,
NJ,New Jersey,Hudson,
NY,New York,Clinton,
NY,New York,Allegany,
CO,Colorado,Pueblo,
CA,California,San Diego,
NY,New York,Fulton,
PA,Pennsylvania,Washington,
OR,Oregon,Gilliam,
ME,Maine,Somerset,
MN,Minnesota,McLeod,
VA,Virginia,Middlesex,
OR,Oregon,Yamhill,
TX,Texas,Parker,
NY,New York,Madison,
VA,Virginia,King George,
KS,Kansas,Shawnee,
MI,Michigan,Clare,
AR,Arkansas,Washington,
GA,Georgia,Chatham,
CA,California,Orange,
ID,Idaho,Payette,
NC,North Carolina,Cleveland,
SC,South Carolina,Spartanburg,
MN,Minnesota,Kandiyohi,
MN,Minnesota,Kandiyohi,
AK,Alaska,Anchorage,
MS,Mississippi,Kemper,
CA,California,Alameda,
CA,California,San Francisco,
NE,Nebraska,Platte,Yes
AK,Alaska,Northwest Arctic,
AK,Alaska,Nome,
AK,Alaska,Wade Hampton,
AK,Alaska,Bethel,
AK,Alaska,Nome,
AK,Alaska,Wade Hampton,
AK,Alaska,Bethel,
AK,Alaska,Wade Hampton,
AK,Alaska,Nome,
AK,Alaska,Nome,
AK,Alaska,Nome,
AK,Alaska,Northwest Arctic,
AK,Alaska,Wade Hampton,
AK,Alaska,Northwest Arctic,
AK,Alaska,Bethel,
AK,Alaska,Bethel,
CT,Connecticut,New Haven,
TX,Texas,Denton,
IL,Illinois,Madison,
CA,California,San Bernardino,
CA,California,San Bernardino,
CA,California,San Bernardino,
GA,Georgia,Muscogee,
WA,Washington,Pierce,
MN,Minnesota,Scott,
CA,California,Orange,
FL,Florida,Duval,
FL,Florida,Marion,
CA,California,Yuba,
SC,South Carolina,Aiken,
CA,California,Los Angeles,
TX,Texas,Denton,
NV,Nevada,Washoe,
TX,Texas,Comal,
FL,Florida,Collier,
NC,North Carolina,Forsyth,
OH,Ohio,Perry,
OH,Ohio,Williams,
CT,Connecticut,Hartford,
PA,Pennsylvania,Northampton,
NY,New York,Chautauqua,
NC,North Carolina,Guilford,
AK,Alaska,Kenai Peninsula,
MN,Minnesota,Dakota,
MN,Minnesota,Dakota,
FL,Florida,Alachua,
OH,Ohio,Erie,
IN,Indiana,Elkhart,
CA,California,Contra Costa,
MN,Minnesota,Rice,
TX,Texas,Chambers,
ID,Idaho,Gooding,
ID,Idaho,JEFFERSON,
NV,Nevada,Clark,
DE,Delaware,Kent,
VA,Virginia,Henrico,
NC,North Carolina,Durham,
NC,North Carolina,Wayne,
ID,Idaho,Gooding,
AZ,Arizona,Maricopa,
NY,New York,Oneida,
MI,Michigan,Oakland,
IL,Illinois,Will,
MS,Mississippi,Chickasaw,
TN,Tennessee,Benton,
OH,Ohio,Ashtabula,
OH,Ohio,Mahoning,
ID,Idaho,Jerome,
OH,Ohio,Logan,
NC,North Carolina,Davidson,
MI,Michigan,Macomb,
OR,Oregon,Lane,
CA,California,Los Angeles,
PA,Pennsylvania,Franklin,
AL,Alabama,Hale,
CA,California,Riverside,
CA,California,Alameda,
KS,Kansas,Crawford,
NC,North Carolina,Sampson,
FL,Florida,Escambia,
TX,Texas,Harris,
NC,North Carolina,Union,
CA,California,Los Angeles,
CA,California,San Bernardino,
CA,California,San Diego,
CA,California,Santa Clara,
CA,California,Fresno,
CA,California,Contra Costa,
CA,California,El Dorado,
PA,Pennsylvania,Lycoming,
PA,Pennsylvania,Lycoming,
CA,California,San Diego,
CA,California,Ventura,
OK,Oklahoma,Canadian,
CT,Connecticut,New London,
CT,Connecticut,New London,
NY,New York,Suffolk,
CT,Connecticut,New London,
CT,Connecticut,New London,
CT,Connecticut,New London,
CT,Connecticut,New London,
CT,Connecticut,New London,
NC,North Carolina,Guilford,
NC,North Carolina,Guilford,
NC,North Carolina,Davidson,
CT,Connecticut,New London,
IN,Indiana,Jasper,
NC,North Carolina,Gaston,
NC,North Carolina,Gaston,
OR,Oregon,Benton,
CT,Connecticut,New London,
IA,Iowa,Johnson,
CT,Connecticut,Fairfield,
CA,California,Alameda,
CA,California,Los Angeles,
WY,Wyoming,Laramie,
MI,Michigan,St Clair,
CA,California,Santa Clara,
CA,California,San Diego,
CA,California,San Diego,
VA,Virginia,Frederick,
